PROJECT	DDE_NUM	DDE_TYPE	DATE_EN_AFFINAGE	DATE_PRET	DELAI	DDE_STATUT	DATE_LAST_UPDATE
BI	BI-144	Bogue	2017-02-02 10:29:07	2017-02-02 10:29:09	0	Vérifié	2017-02-20 15:46:25
BOA	BOA-1402	Story	2017-02-03 15:12:44	2017-02-03 15:13:27	0	Réalisé	2017-03-02 13:54:24
IOT	IOT-8	Tâche	NULL	NULL	NULL	Fait	2017-02-02 11:03:35
IOT	IOT-9	Tâche	NULL	NULL	NULL	Fait	2017-02-02 11:04:10
IOT	IOT-10	Tâche	NULL	NULL	NULL	Fait	2017-02-06 14:11:12
IOT	IOT-11	Tâche	NULL	NULL	NULL	Fait	2017-02-02 11:07:39
IOT	IOT-12	Tâche	NULL	NULL	NULL	Fait	2017-02-24 12:17:20
IOT	IOT-13	Tâche	NULL	NULL	NULL	Fait	2017-02-06 14:11:52
IOT	IOT-14	Tâche	NULL	NULL	NULL	En cours	2017-02-28 13:34:30
IOT	IOT-15	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:22:25
IOT	IOT-16	Tâche	NULL	NULL	NULL	À faire	2017-02-02 11:18:13
IOT	IOT-17	Tâche	NULL	NULL	NULL	À faire	2017-02-02 11:19:36
IOT	IOT-18	Tâche	NULL	NULL	NULL	Fait	2017-02-06 14:12:48
ST	ST-27	Tâche	NULL	NULL	NULL	Fait	2017-02-24 13:55:38
BOA	BOA-1405	Story	2017-02-03 15:14:29	2017-02-03 15:14:37	0	Réalisé	2017-03-02 13:54:07
ZMTR	ZMTR-508	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:21:29
BEA	BEA-1324	Story	2017-02-02 13:39:07	2017-02-02 13:39:09	0	Réalisé	2017-02-15 16:12:57
BEA	BEA-1325	Bogue	2017-02-06 11:22:11	2017-02-06 11:22:13	0	Testé	2017-03-01 10:45:49
BEA	BEA-1326	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-02 18:48:26
BEA	BEA-1327	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-09 16:05:43
BEA	BEA-1328	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-06 18:19:34
BEA	BEA-1329	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-08 18:02:05
BOA	BOA-1403	Story	2017-02-03 10:27:19	NULL	NULL	En Affinage	2017-02-15 08:59:04
BI	BI-145	Story	2017-02-03 10:55:29	2017-02-03 10:55:36	0	Réalisé	2017-02-09 17:17:01
BOA	BOA-1404	Story	2017-02-03 12:07:43	2017-02-03 13:36:28	0	Prêt	2017-02-17 16:57:15
ZMTR	ZMTR-509	Tâche	NULL	NULL	NULL	À faire	2017-02-08 11:50:07
ZMTR	ZMTR-510	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:22:14
ZMTR	ZMTR-511	Tâche	NULL	NULL	NULL	Fait	2017-02-24 12:18:21
ZMTR	ZMTR-512	Tâche	NULL	NULL	NULL	À faire	2017-02-03 13:53:30
ZMTR	ZMTR-513	Tâche	NULL	NULL	NULL	Fait	2017-02-24 12:19:43
ZMTR	ZMTR-514	Tâche	NULL	NULL	NULL	À faire	2017-02-03 13:54:16
ZMTR	ZMTR-515	Tâche	NULL	NULL	NULL	À faire	2017-02-03 13:54:46
ZMTR	ZMTR-516	Tâche	NULL	NULL	NULL	À faire	2017-02-03 13:55:05
ZMTR	ZMTR-517	Tâche	NULL	NULL	NULL	À faire	2017-02-03 13:55:23
BOA	BOA-1406	Story	2017-02-03 15:13:09	2017-02-03 15:13:18	0	Réalisé	2017-03-02 16:33:32
BEA	BEA-1330	Bogue	2017-02-06 09:29:53	2017-02-06 09:53:44	0	En cours	2017-03-02 11:23:44
ST	ST-29	Epic	NULL	NULL	NULL	À faire	2017-02-08 16:48:18
BEA	BEA-1331	Story	2017-02-06 10:50:06	2017-02-06 10:50:08	0	Prêt	2017-02-24 14:32:36
ST	ST-30	Epic	NULL	NULL	NULL	À faire	2017-02-09 09:33:58
BOA	BOA-1408	Bogue	2017-02-15 16:27:55	2017-02-15 16:27:58	0	Testé	2017-02-21 10:11:59
BOA	BOA-1409	Bogue	NULL	NULL	NULL	Nouveau	2017-02-13 11:22:16
BOA	BOA-1410	Bogue	2017-02-08 11:08:30	2017-02-08 11:08:34	0	Testé	2017-02-10 13:38:05
BEA	BEA-1332	Story	2017-02-07 15:42:38	2017-02-16 14:08:14	9	En cours	2017-02-24 09:01:43
BEA	BEA-1333	Story	NULL	NULL	NULL	Nouveau	2017-02-27 13:17:33
BI	BI-146	Story	2017-02-07 15:24:11	2017-02-07 15:24:18	0	En cours	2017-02-13 13:46:45
BEA	BEA-1334	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-23 13:12:38
SYR	SYR-79	Story	2017-02-07 16:10:58	2017-02-14 11:22:27	7	Prêt	2017-02-14 11:22:27
BEA	BEA-1335	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-23 11:28:30
BEA	BEA-1336	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-16 17:45:44
BEA	BEA-1337	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-16 17:45:43
BEA	BEA-1338	Story	2017-02-07 16:35:51	2017-02-07 16:35:54	0	En Affinage	2017-02-07 16:44:27
BEA	BEA-1339	Sous-tâche	NULL	NULL	NULL	Fait	2017-03-01 15:22:05
BEA	BEA-1340	Bogue	2017-02-07 16:41:00	2017-02-07 16:41:01	0	Réalisé	2017-02-09 19:54:34
BEA	BEA-1341	Story	NULL	NULL	NULL	Nouveau	2017-02-07 16:43:36
BEA	BEA-1342	Story	2017-02-07 16:45:28	NULL	NULL	En Affinage	2017-02-08 15:52:56
BEA	BEA-1343	Story	NULL	NULL	NULL	Nouveau	2017-02-07 17:34:23
BEA	BEA-1344	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-07 18:10:01
BOA	BOA-1412	Bogue	NULL	NULL	NULL	Nouveau	2017-02-15 09:00:25
EXTR	EXTR-849	Story	2017-02-08 11:21:10	NULL	NULL	En Affinage	2017-02-15 08:58:07
PARL	PARL-128	Story	2017-02-08 11:23:11	NULL	NULL	En Affinage	2017-02-09 09:24:39
IOT	IOT-19	Tâche	NULL	NULL	NULL	À faire	2017-02-21 16:14:41
BOA	BOA-1413	Bogue	2017-02-09 15:01:38	2017-02-09 15:01:42	0	Testé	2017-02-10 13:38:05
BEA	BEA-1345	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-08 18:02:05
BEA	BEA-1346	Bogue	2017-02-08 14:25:11	2017-02-08 14:25:13	0	Testé	2017-02-15 16:26:47
BEA	BEA-1347	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-09 16:05:02
BOA	BOA-1414	Bogue	2017-02-09 15:06:37	2017-02-09 15:06:39	0	Testé	2017-02-10 13:38:05
BEA	BEA-1348	Bogue	2017-02-08 15:14:08	2017-02-08 15:14:10	0	En Affinage	2017-02-13 10:09:53
BOA	BOA-1415	Bogue	2017-02-09 15:11:16	2017-02-10 10:59:45	1	En Affinage	2017-02-20 10:28:16
BEA	BEA-1349	Story	2017-02-08 17:15:22	2017-02-08 17:15:24	0	Réalisé	2017-02-24 09:01:58
BEA	BEA-1350	Bogue	2017-02-09 09:34:01	NULL	NULL	En Affinage	2017-02-09 12:08:18
BOA	BOA-1416	Story	2017-02-09 11:00:50	2017-02-09 11:00:53	0	Testé	2017-02-10 13:38:05
BEA	BEA-1351	Story	NULL	NULL	NULL	Nouveau	2017-02-09 17:11:37
SJ	SJ-6	Sous-tâche	NULL	NULL	NULL	À faire	2017-02-09 14:40:22
SJ	SJ-7	Story	2017-02-09 17:00:33	NULL	NULL	En Affinage	2017-02-09 17:00:33
SJ	SJ-8	Bogue	NULL	NULL	NULL	Nouveau	2017-02-09 16:02:48
BOA	BOA-1417	Story	NULL	NULL	NULL	Fermé	2017-02-20 14:33:58
EXTR	EXTR-851	Story	2017-02-10 16:38:43	NULL	NULL	En Affinage	2017-02-20 14:34:20
BOA	BOA-1418	Bogue	NULL	NULL	NULL	Nouveau	2017-02-15 09:00:25
BOA	BOA-1419	Story	2017-02-10 16:39:03	NULL	NULL	En Affinage	2017-02-21 15:32:57
BOA	BOA-1420	Story	2017-02-10 16:39:18	NULL	NULL	En Affinage	2017-02-20 14:35:28
BOA	BOA-1421	Bogue	NULL	NULL	NULL	Nouveau	2017-02-15 09:00:25
ZMTR	ZMTR-518	Tâche	NULL	NULL	NULL	Fait	2017-02-16 13:56:45
ZMTR	ZMTR-519	Tâche	NULL	NULL	NULL	À faire	2017-02-13 08:54:03
IOT	IOT-20	Tâche	NULL	NULL	NULL	En cours	2017-02-27 16:00:28
IOT	IOT-21	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:24:54
